Sr. No.,Value date,Transaction Date,Cheque Number,Transacting Remarks,Withdrawal Amount,Deposit Amount,Balance
627,2020-12-29,2020-12-29 22:16,,Dining - Fine Dining,1389.83,0.00,557093.64
628,2020-12-30,2020-12-30 02:07,,Dining - Fine Dining,948.18,0.00,556145.46
629,2021-01-01,2021-01-01 02:27,,Fuel,67.75,0.00,556077.71
630,2021-01-01,2021-01-01 06:38,,Investment - Stocks,3473.95,0.00,552603.76
631,2021-01-02,2021-01-02 07:51,,Coffee Shop,22.11,0.00,552581.65
632,2021-01-02,2021-01-02 04:32,,Entertainment - Concerts,1543.44,0.00,551038.21
633,2021-01-02,2021-01-02 13:07,,Investment Returns - Stocks,0.00,8470.45,559508.66
634,2021-01-02,2021-01-02 09:28,,Loan EMI,2473.35,0.00,557035.31
635,2021-01-04,2021-01-04 08:10,,Utilities - Water,68.31,0.00,556967.00
636,2021-01-05,2021-01-05 21:47,,Groceries - Supermarket,289.37,0.00,556677.63
637,2021-01-05,2021-01-05 06:11,,Investment Returns - Crypto,0.00,261.58,556939.21
638,2021-01-05,2021-01-05 03:25,,Salary - Bonus,0.00,9689.95,566629.16
639,2021-01-06,2021-01-06 18:33,,Salary - Regular,0.00,4490.11,571119.27
640,2021-01-06,2021-01-06 03:13,,Investment Returns - Stocks,0.00,278.14,571397.41
641,2021-01-07,2021-01-07 21:00,,Groceries - Supermarket,147.85,0.00,571249.56
642,2021-01-08,2021-01-08 01:33,,Investment - Stocks,5347.01,0.00,565902.55
643,2021-01-08,2021-01-08 19:19,,Coffee Shop,27.95,0.00,565874.60
644,2021-01-10,2021-01-10 18:22,,Salary - Regular,0.00,6816.40,572691.00
645,2021-01-10,2021-01-10 23:50,,Fuel,45.95,0.00,572645.05
646,2021-01-11,2021-01-11 10:12,,Cashback,0.00,170.93,572815.98
647,2021-01-12,2021-01-12 07:05,,Salary - Regular,0.00,4708.73,577524.71
648,2021-01-12,2021-01-12 06:21,,Rental Income,0.00,3933.13,581457.84
649,2021-01-12,2021-01-12 13:57,,Groceries - Supermarket,327.75,0.00,581130.09
650,2021-01-13,2021-01-13 13:14,,Coffee Shop,21.58,0.00,581108.51
651,2021-01-13,2021-01-13 07:55,,Public Transport,4.24,0.00,581104.27
652,2021-01-13,2021-01-13 12:11,,Loan EMI,2974.90,0.00,578129.37
653,2021-01-14,2021-01-14 03:38,,Fuel,37.44,0.00,578091.93
654,2021-01-15,2021-01-15 23:03,,Fuel,51.70,0.00,578040.23
655,2021-01-15,2021-01-15 07:19,,Rental Income,0.00,4140.59,582180.82
656,2021-01-15,2021-01-15 21:20,,Freelance Income,0.00,973.55,583154.37
657,2021-01-15,2021-01-15 07:11,,Rental Income,0.00,1978.89,585133.26
658,2021-01-16,2021-01-16 22:39,,Cashback,0.00,215.51,585348.77
659,2021-01-16,2021-01-16 13:01,,Rental Income,0.00,2882.26,588231.03
660,2021-01-17,2021-01-17 10:37,,Salary - Regular,0.00,5148.86,593379.89
661,2021-01-18,2021-01-18 19:28,,Utilities - Electricity,301.12,0.00,593078.77
662,2021-01-18,2021-01-18 19:12,,Investment Returns - Crypto,0.00,2393.15,595471.92
663,2021-01-18,2021-01-18 04:34,,Groceries - Online Delivery,129.14,0.00,595342.78
664,2021-01-19,2021-01-19 23:07,,Dining - Fine Dining,725.91,0.00,594616.87
665,2021-01-19,2021-01-19 14:16,,Freelance Income,0.00,1845.04,596461.91
666,2021-01-19,2021-01-19 20:51,,Dividends,0.00,1256.03,597717.94
667,2021-01-20,2021-01-20 19:54,,Fuel,71.37,0.00,597646.57
668,2021-01-20,2021-01-20 15:46,,Loan EMI,2475.02,0.00,595171.55
669,2021-01-20,2021-01-20 18:24,,Groceries - Supermarket,160.11,0.00,595011.44
670,2021-01-21,2021-01-21 08:09,,Cashback,0.00,133.11,595144.55
671,2021-01-22,2021-01-22 08:31,,Rental Income,0.00,4765.98,599910.53
672,2021-01-23,2021-01-23 14:54,,Coffee Shop,34.64,0.00,599875.89
673,2021-01-23,2021-01-23 15:19,,Freelance Income,0.00,5380.29,605256.18
674,2021-01-24,2021-01-24 14:41,,Dividends,0.00,1407.50,606663.68
675,2021-01-24,2021-01-24 02:16,,Groceries - Supermarket,549.81,0.00,606113.87
676,2021-01-24,2021-01-24 22:51,,Salary - Regular,0.00,4360.42,610474.29
677,2021-01-24,2021-01-24 06:22,,Salary - Regular,0.00,5573.25,616047.54
678,2021-01-25,2021-01-25 14:41,,Entertainment - Movies,37.05,0.00,616010.49
679,2021-01-25,2021-01-25 16:15,,Investment - Crypto,749.45,0.00,615261.04
680,2021-01-25,2021-01-25 03:45,,Dining - Casual Restaurant,72.13,0.00,615188.91
681,2021-01-25,2021-01-25 14:11,,Coffee Shop,12.16,0.00,615176.75
682,2021-01-26,2021-01-26 08:48,,Rental Income,0.00,2586.44,617763.19
683,2021-01-26,2021-01-26 23:16,,Dining - Fine Dining,746.55,0.00,617016.64
684,2021-01-27,2021-01-27 03:48,,Fuel,74.90,0.00,616941.74
685,2021-01-29,2021-01-29 13:08,,Groceries - Online Delivery,233.20,0.00,616708.54
686,2021-01-29,2021-01-29 19:12,,Groceries - Supermarket,139.23,0.00,616569.31
687,2021-01-30,2021-01-30 10:23,,Groceries - Supermarket,276.56,0.00,616292.75
688,2021-01-31,2021-01-31 16:30,,Healthcare - Regular,521.36,0.00,615771.39
689,2021-01-31,2021-01-31 15:28,,Groceries - Supermarket,414.70,0.00,615356.69
690,2021-02-01,2021-02-01 08:30,,Groceries - Online Delivery,165.13,0.00,615191.56
691,2021-02-02,2021-02-02 01:40,,Salary - Bonus,0.00,4443.05,619634.61
692,2021-02-03,2021-02-03 18:16,,Groceries - Online Delivery,176.52,0.00,619458.09
693,2021-02-04,2021-02-04 03:30,,Entertainment - Movies,56.35,0.00,619401.74
694,2021-02-04,2021-02-04 07:32,,Healthcare - Regular,207.79,0.00,619193.95
695,2021-02-04,2021-02-04 05:33,,Groceries - Online Delivery,268.17,0.00,618925.78
696,2021-02-04,2021-02-04 13:14,,Investment Returns - Stocks,0.00,6197.46,625123.24
697,2021-02-05,2021-02-05 19:38,,Entertainment - Movies,64.94,0.00,625058.30
698,2021-02-05,2021-02-05 22:29,,Groceries - Supermarket,191.14,0.00,624867.16
699,2021-02-06,2021-02-06 06:43,,Healthcare - Regular,389.48,0.00,624477.68
700,2021-02-07,2021-02-07 07:07,,Entertainment - Concerts,430.96,0.00,624046.72
701,2021-02-07,2021-02-07 12:08,,Entertainment - Concerts,703.38,0.00,623343.34
702,2021-02-07,2021-02-07 15:53,,Dining - Casual Restaurant,131.07,0.00,623212.27
703,2021-02-08,2021-02-08 04:36,,Coffee Shop,26.51,0.00,623185.76
704,2021-02-08,2021-02-08 10:46,,Salary - Regular,0.00,3277.99,626463.75
705,2021-02-09,2021-02-09 23:01,,Groceries - Online Delivery,123.77,0.00,626339.98
706,2021-02-09,2021-02-09 07:54,,Freelance Income,0.00,1602.25,627942.23
707,2021-02-10,2021-02-10 20:13,,Entertainment - Movies,69.19,0.00,627873.04
708,2021-02-10,2021-02-10 20:42,,Salary - Regular,0.00,3610.85,631483.89
709,2021-02-11,2021-02-11 01:47,,Dining - Casual Restaurant,222.19,0.00,631261.70
710,2021-02-12,2021-02-12 15:11,,Investment Returns - Stocks,0.00,3384.48,634646.18
711,2021-02-13,2021-02-13 16:50,,Groceries - Supermarket,360.75,0.00,634285.43
712,2021-02-13,2021-02-13 15:40,,Dividends,0.00,563.02,634848.45
713,2021-02-14,2021-02-14 07:19,,Dining - Casual Restaurant,132.26,0.00,634716.19
714,2021-02-14,2021-02-14 07:49,,Coffee Shop,25.30,0.00,634690.89
715,2021-02-15,2021-02-15 21:00,,Fuel,43.06,0.00,634647.83
716,2021-02-15,2021-02-15 22:23,,Public Transport,17.20,0.00,634630.63
717,2021-02-16,2021-02-16 13:26,,Freelance Income,0.00,5469.29,640099.92
718,2021-02-17,2021-02-17 21:44,,Fuel,43.76,0.00,640056.16
719,2021-02-17,2021-02-17 20:40,,Investment - Crypto,6432.27,0.00,633623.89
720,2021-02-19,2021-02-19 14:48,,Groceries - Supermarket,140.26,0.00,633483.63
721,2021-02-20,2021-02-20 16:41,,Salary - Regular,0.00,3423.77,636907.40
722,2021-02-20,2021-02-20 05:36,,Dining - Casual Restaurant,275.38,0.00,636632.02
723,2021-02-21,2021-02-21 00:30,,Cashback,0.00,323.20,636955.22
724,2021-02-21,2021-02-21 21:59,,Groceries - Supermarket,479.37,0.00,636475.85
725,2021-02-21,2021-02-21 20:19,,Salary - Bonus,0.00,7613.32,644089.17
726,2021-02-22,2021-02-22 16:23,,Salary - Bonus,0.00,20762.79,664851.96
727,2021-02-23,2021-02-23 15:40,,Freelance Income,0.00,6984.40,671836.36
728,2021-02-23,2021-02-23 12:32,,Freelance Income,0.00,3481.51,675317.87
729,2021-02-24,2021-02-24 13:27,,Utilities - Electricity,317.07,0.00,675000.80
730,2021-02-25,2021-02-25 12:14,,Groceries - Supermarket,422.78,0.00,674578.02
731,2021-02-25,2021-02-25 00:44,,Healthcare - Regular,87.68,0.00,674490.34
732,2021-02-25,2021-02-25 21:47,,Loan EMI,4792.10,0.00,669698.24
733,2021-02-26,2021-02-26 14:02,,Dividends,0.00,779.71,670477.95
734,2021-02-26,2021-02-26 01:30,,Groceries - Supermarket,315.04,0.00,670162.91
735,2021-02-27,2021-02-27 01:18,,Investment Returns - Stocks,0.00,7623.69,677786.60
736,2021-02-28,2021-02-28 10:31,,Entertainment - Concerts,231.36,0.00,677555.24
737,2021-03-01,2021-03-01 12:14,,Fuel,65.09,0.00,677490.15
738,2021-03-01,2021-03-01 16:53,,Dining - Casual Restaurant,184.04,0.00,677306.11
739,2021-03-02,2021-03-02 09:30,,Groceries - Supermarket,157.23,0.00,677148.88
740,2021-03-02,2021-03-02 03:56,,Healthcare - Regular,57.28,0.00,677091.60
741,2021-03-03,2021-03-03 16:19,,Groceries - Supermarket,312.32,0.00,676779.28
742,2021-03-04,2021-03-04 22:20,,Entertainment - Movies,28.63,0.00,676750.65
743,2021-03-04,2021-03-04 06:43,,Utilities - Electricity,162.35,0.00,676588.30
744,2021-03-05,2021-03-05 02:04,,Groceries - Online Delivery,98.29,0.00,676490.01
745,2021-03-06,2021-03-06 08:55,,Coffee Shop,27.38,0.00,676462.63
746,2021-03-06,2021-03-06 00:06,,Public Transport,15.94,0.00,676446.69
747,2021-03-06,2021-03-06 13:15,,Salary - Regular,0.00,5028.39,681475.08
748,2021-03-07,2021-03-07 08:35,,Groceries - Supermarket,359.62,0.00,681115.46
749,2021-03-08,2021-03-08 17:59,,Groceries - Online Delivery,234.09,0.00,680881.37
750,2021-03-08,2021-03-08 04:58,,Entertainment - Movies,27.55,0.00,680853.82
751,2021-03-08,2021-03-08 09:18,,Utilities - Water,64.63,0.00,680789.19
752,2021-03-08,2021-03-08 03:04,,Entertainment - Concerts,422.73,0.00,680366.46
753,2021-03-09,2021-03-09 09:47,,Groceries - Online Delivery,124.27,0.00,680242.19
754,2021-03-09,2021-03-09 09:16,,Dining - Fine Dining,501.38,0.00,679740.81
755,2021-03-10,2021-03-10 08:55,,Entertainment - Concerts,470.12,0.00,679270.69
756,2021-03-10,2021-03-10 05:06,,Fuel,85.28,0.00,679185.41
757,2021-03-11,2021-03-11 03:05,,Groceries - Online Delivery,163.35,0.00,679022.06
758,2021-03-12,2021-03-12 17:56,,Salary - Regular,0.00,7618.92,686640.98
759,2021-03-12,2021-03-12 12:24,,Healthcare - Emergency,1683.64,0.00,684957.34
760,2021-03-12,2021-03-12 16:22,,Utilities - Water,155.77,0.00,684801.57
761,2021-03-13,2021-03-13 07:30,,Fuel,101.59,0.00,684699.98
762,2021-03-13,2021-03-13 09:50,,Salary - Regular,0.00,4875.85,689575.83
763,2021-03-14,2021-03-14 11:09,,Loan EMI,3981.74,0.00,685594.09
764,2021-03-14,2021-03-14 09:17,,Dividends,0.00,405.92,686000.01
765,2021-03-15,2021-03-15 13:25,,Rental Income,0.00,2197.95,688197.96
766,2021-03-15,2021-03-15 04:13,,Salary - Regular,0.00,6906.41,695104.37
767,2021-03-16,2021-03-16 03:08,,Investment Returns - Crypto,0.00,1797.15,696901.52
768,2021-03-17,2021-03-17 00:39,,Rental Income,0.00,2626.67,699528.19
769,2021-03-17,2021-03-17 17:43,,Loan EMI,2636.56,0.00,696891.63
770,2021-03-18,2021-03-18 08:22,,Salary - Regular,0.00,6895.16,703786.79
771,2021-03-18,2021-03-18 18:12,,Loan EMI,1334.21,0.00,702452.58
772,2021-03-19,2021-03-19 19:20,,Public Transport,7.03,0.00,702445.55
773,2021-03-19,2021-03-19 05:18,,Dining - Fine Dining,405.21,0.00,702040.34
774,2021-03-19,2021-03-19 17:45,,Salary - Regular,0.00,4453.92,706494.26
775,2021-03-21,2021-03-21 21:55,,Healthcare - Regular,292.99,0.00,706201.27
776,2021-03-21,2021-03-21 03:40,,Groceries - Supermarket,149.85,0.00,706051.42
777,2021-03-22,2021-03-22 18:09,,Freelance Income,0.00,3939.47,709990.89
778,2021-03-23,2021-03-23 06:14,,Salary - Regular,0.00,6537.12,716528.01
779,2021-03-23,2021-03-23 23:23,,Groceries - Online Delivery,210.30,0.00,716317.71
780,2021-03-24,2021-03-24 23:07,,Investment Returns - Crypto,0.00,1529.33,717847.04
781,2021-03-24,2021-03-24 12:37,,Public Transport,14.73,0.00,717832.31
782,2021-03-25,2021-03-25 22:58,,Investment Returns - Crypto,0.00,1925.34,719757.65
783,2021-03-26,2021-03-26 12:16,,Utilities - Water,117.76,0.00,719639.89
784,2021-03-27,2021-03-27 06:13,,Fuel,135.99,0.00,719503.90
785,2021-03-27,2021-03-27 22:11,,Salary - Regular,0.00,6509.64,726013.54
786,2021-03-27,2021-03-27 15:46,,Dividends,0.00,100.01,726113.55
787,2021-03-28,2021-03-28 04:33,,Salary - Bonus,0.00,24875.05,750988.60
788,2021-03-28,2021-03-28 15:53,,Dining - Casual Restaurant,147.00,0.00,750841.60
789,2021-03-28,2021-03-28 00:41,,Salary - Bonus,0.00,23916.01,774757.61
790,2021-03-29,2021-03-29 08:26,,Investment Returns - Stocks,0.00,8951.39,783709.00
791,2021-03-30,2021-03-30 11:48,,Investment Returns - Crypto,0.00,3478.45,787187.45
792,2021-03-30,2021-03-30 16:12,,Dining - Casual Restaurant,124.35,0.00,787063.10
793,2021-03-30,2021-03-30 10:12,,Public Transport,3.08,0.00,787060.02
794,2021-03-31,2021-03-31 16:38,,Fuel,38.17,0.00,787021.85
795,2021-03-31,2021-03-31 19:39,,Investment Returns - Stocks,0.00,7218.92,794240.77
796,2021-04-01,2021-04-01 04:51,,Entertainment - Movies,46.25,0.00,794194.52
797,2021-04-01,2021-04-01 21:59,,Salary - Regular,0.00,3289.70,797484.22
798,2021-04-03,2021-04-03 13:15,,Groceries - Online Delivery,379.06,0.00,797105.16
799,2021-04-04,2021-04-04 10:29,,Groceries - Supermarket,481.50,0.00,796623.66
800,2021-04-04,2021-04-04 09:44,,Salary - Bonus,0.00,8645.05,805268.71
801,2021-04-04,2021-04-04 03:28,,Groceries - Supermarket,659.03,0.00,804609.68
802,2021-04-04,2021-04-04 16:43,,Loan EMI,3210.80,0.00,801398.88
803,2021-04-06,2021-04-06 00:10,,Freelance Income,0.00,886.41,802285.29
804,2021-04-06,2021-04-06 13:01,,Salary - Regular,0.00,5765.02,808050.31
805,2021-04-07,2021-04-07 14:20,,Dining - Casual Restaurant,222.19,0.00,807828.12
806,2021-04-08,2021-04-08 00:42,,Salary - Regular,0.00,7793.56,815621.68
807,2021-04-09,2021-04-09 16:04,,Freelance Income,0.00,1749.49,817371.17
808,2021-04-10,2021-04-10 15:54,,Salary - Bonus,0.00,8991.97,826363.14
809,2021-04-10,2021-04-10 19:28,,Investment Returns - Stocks,0.00,4390.92,830754.06
810,2021-04-10,2021-04-10 12:18,,Cashback,0.00,35.51,830789.57
811,2021-04-11,2021-04-11 08:03,,Groceries - Supermarket,521.62,0.00,830267.95
812,2021-04-11,2021-04-11 06:08,,Utilities - Electricity,420.95,0.00,829847.00
813,2021-04-11,2021-04-11 06:59,,Coffee Shop,34.50,0.00,829812.50
814,2021-04-12,2021-04-12 06:09,,Public Transport,6.74,0.00,829805.76
815,2021-04-13,2021-04-13 19:54,,Salary - Bonus,0.00,14986.54,844792.30
816,2021-04-13,2021-04-13 16:54,,Fuel,42.18,0.00,844750.12
817,2021-04-13,2021-04-13 10:50,,Cashback,0.00,124.43,844874.55
818,2021-04-14,2021-04-14 02:56,,Salary - Bonus,0.00,14834.33,859708.88
819,2021-04-14,2021-04-14 23:32,,Coffee Shop,6.78,0.00,859702.10
820,2021-04-15,2021-04-15 00:00,,Investment - Stocks,11156.31,0.00,848545.79
821,2021-04-15,2021-04-15 15:52,,Dining - Casual Restaurant,90.34,0.00,848455.45
822,2021-04-16,2021-04-16 21:01,,Rental Income,0.00,3551.76,852007.21
823,2021-04-16,2021-04-16 18:39,,Groceries - Online Delivery,187.68,0.00,851819.53
824,2021-04-17,2021-04-17 02:26,,Entertainment - Concerts,614.07,0.00,851205.46
825,2021-04-19,2021-04-19 02:05,,Fuel,48.62,0.00,851156.84
826,2021-04-19,2021-04-19 23:49,,Salary - Bonus,0.00,13714.11,864870.95
827,2021-04-19,2021-04-19 06:44,,Rental Income,0.00,2633.77,867504.72
828,2021-04-20,2021-04-20 02:19,,Groceries - Supermarket,105.37,0.00,867399.35
829,2021-04-21,2021-04-21 05:20,,Investment Returns - Stocks,0.00,1186.88,868586.23
830,2021-04-22,2021-04-22 21:27,,Coffee Shop,8.66,0.00,868577.57
831,2021-04-22,2021-04-22 19:34,,Loan EMI,2168.77,0.00,866408.80
832,2021-04-22,2021-04-22 18:13,,Public Transport,9.80,0.00,866399.00
833,2021-04-23,2021-04-23 14:14,,Rental Income,0.00,4759.81,871158.81
834,2021-04-23,2021-04-23 22:40,,Investment Returns - Stocks,0.00,4618.66,875777.47
835,2021-04-24,2021-04-24 23:00,,Utilities - Water,209.45,0.00,875568.02
836,2021-04-24,2021-04-24 22:12,,Loan EMI,3486.93,0.00,872081.09
837,2021-04-25,2021-04-25 12:59,,Coffee Shop,20.19,0.00,872060.90
838,2021-04-26,2021-04-26 13:30,,Salary - Regular,0.00,4419.89,876480.79
839,2021-04-26,2021-04-26 18:17,,Groceries - Supermarket,230.91,0.00,876249.88
840,2021-04-27,2021-04-27 15:09,,Fuel,42.18,0.00,876207.70
841,2021-04-28,2021-04-28 23:04,,Coffee Shop,32.08,0.00,876175.62
842,2021-04-29,2021-04-29 21:13,,Fuel,114.91,0.00,876060.71
843,2021-04-29,2021-04-29 20:17,,Investment - Stocks,1816.18,0.00,874244.53
844,2021-04-30,2021-04-30 14:31,,Freelance Income,0.00,2363.06,876607.59
845,2021-05-01,2021-05-01 18:05,,Dividends,0.00,413.26,877020.85
846,2021-05-01,2021-05-01 23:24,,Freelance Income,0.00,1390.37,878411.22
847,2021-05-01,2021-05-01 15:15,,Dividends,0.00,870.49,879281.71
848,2021-05-02,2021-05-02 09:15,,Salary - Bonus,0.00,12823.70,892105.41
849,2021-05-03,2021-05-03 08:52,,Groceries - Supermarket,236.48,0.00,891868.93
850,2021-05-03,2021-05-03 10:30,,Groceries - Online Delivery,88.45,0.00,891780.48
851,2021-05-03,2021-05-03 18:06,,Loan EMI,1890.30,0.00,889890.18
852,2021-05-04,2021-05-04 01:27,,Salary - Regular,0.00,3548.15,893438.33
853,2021-05-04,2021-05-04 16:04,,Dining - Casual Restaurant,170.78,0.00,893267.55
854,2021-05-04,2021-05-04 02:44,,Salary - Regular,0.00,8132.06,901399.61
855,2021-05-05,2021-05-05 02:05,,Fuel,69.40,0.00,901330.21
856,2021-05-05,2021-05-05 00:26,,Loan EMI,1854.81,0.00,899475.40
857,2021-05-06,2021-05-06 15:49,,Investment Returns - Crypto,0.00,207.53,899682.93
858,2021-05-07,2021-05-07 01:57,,Salary - Regular,0.00,6563.19,906246.12
859,2021-05-07,2021-05-07 17:35,,Dining - Fine Dining,742.22,0.00,905503.90
860,2021-05-07,2021-05-07 17:23,,Loan EMI,1506.56,0.00,903997.34
861,2021-05-08,2021-05-08 20:52,,Salary - Regular,0.00,5342.42,909339.76
862,2021-05-08,2021-05-08 18:02,,Investment - Stocks,6365.07,0.00,902974.69
863,2021-05-09,2021-05-09 19:21,,Dining - Casual Restaurant,257.43,0.00,902717.26
864,2021-05-09,2021-05-09 17:16,,Investment Returns - Stocks,0.00,7681.46,910398.72
865,2021-05-10,2021-05-10 09:25,,Rental Income,0.00,4421.23,914819.95
866,2021-05-10,2021-05-10 15:14,,Dividends,0.00,1164.44,915984.39
867,2021-05-12,2021-05-12 09:48,,Groceries - Online Delivery,128.53,0.00,915855.86
868,2021-05-13,2021-05-13 04:05,,Coffee Shop,7.61,0.00,915848.25
869,2021-05-13,2021-05-13 14:16,,Public Transport,9.68,0.00,915838.57
870,2021-05-14,2021-05-14 13:08,,Public Transport,12.70,0.00,915825.87
871,2021-05-14,2021-05-14 21:18,,Groceries - Supermarket,293.04,0.00,915532.83
872,2021-05-14,2021-05-14 13:17,,Public Transport,15.03,0.00,915517.80
873,2021-05-15,2021-05-15 21:07,,Rental Income,0.00,1882.07,917399.87
874,2021-05-15,2021-05-15 11:12,,Groceries - Supermarket,124.40,0.00,917275.47
875,2021-05-15,2021-05-15 02:12,,Dining - Casual Restaurant,80.48,0.00,917194.99
876,2021-05-16,2021-05-16 19:54,,Rental Income,0.00,3579.32,920774.31
877,2021-05-17,2021-05-17 01:20,,Public Transport,3.27,0.00,920771.04
878,2021-05-18,2021-05-18 14:33,,Dining - Fine Dining,584.68,0.00,920186.36
879,2021-05-19,2021-05-19 13:33,,Investment Returns - Stocks,0.00,3584.59,923770.95
880,2021-05-20,2021-05-20 05:07,,Groceries - Supermarket,297.24,0.00,923473.71
881,2021-05-20,2021-05-20 02:01,,Salary - Regular,0.00,7165.43,930639.14
882,2021-05-20,2021-05-20 08:12,,Investment Returns - Stocks,0.00,7603.32,938242.46
883,2021-05-21,2021-05-21 01:54,,Salary - Regular,0.00,6822.03,945064.49
884,2021-05-22,2021-05-22 21:11,,Cashback,0.00,312.23,945376.72
885,2021-05-22,2021-05-22 13:01,,Groceries - Online Delivery,389.77,0.00,944986.95
886,2021-05-23,2021-05-23 03:53,,Public Transport,20.58,0.00,944966.37
887,2021-05-23,2021-05-23 21:50,,Coffee Shop,17.63,0.00,944948.74
888,2021-05-24,2021-05-24 22:52,,Dividends,0.00,1070.70,946019.44
889,2021-05-25,2021-05-25 07:50,,Dining - Casual Restaurant,181.31,0.00,945838.13
890,2021-05-26,2021-05-26 13:21,,Fuel,82.96,0.00,945755.17
891,2021-05-26,2021-05-26 10:15,,Healthcare - Emergency,1524.98,0.00,944230.19
892,2021-05-26,2021-05-26 21:55,,Dining - Fine Dining,749.25,0.00,943480.94
893,2021-05-26,2021-05-26 16:25,,Entertainment - Movies,70.05,0.00,943410.89
894,2021-05-27,2021-05-27 12:02,,Investment Returns - Crypto,0.00,640.31,944051.20
895,2021-05-28,2021-05-28 13:50,,Salary - Regular,0.00,3577.57,947628.77
896,2021-05-28,2021-05-28 10:43,,Dining - Casual Restaurant,84.17,0.00,947544.60
897,2021-05-29,2021-05-29 05:11,,Groceries - Online Delivery,416.55,0.00,947128.05
898,2021-05-29,2021-05-29 06:11,,Salary - Regular,0.00,4033.54,951161.59
899,2021-05-29,2021-05-29 02:35,,Rental Income,0.00,3273.93,954435.52
900,2021-05-30,2021-05-30 03:48,,Healthcare - Emergency,2733.06,0.00,951702.46
901,2021-05-31,2021-05-31 05:11,,Rental Income,0.00,3116.30,954818.76
902,2021-05-31,2021-05-31 12:08,,Entertainment - Concerts,504.48,0.00,954314.28
903,2021-06-01,2021-06-01 10:33,,Utilities - Water,84.56,0.00,954229.72
904,2021-06-02,2021-06-02 10:47,,Investment Returns - Crypto,0.00,5994.25,960223.97
905,2021-06-02,2021-06-02 09:09,,Investment - Crypto,3998.94,0.00,956225.03
906,2021-06-03,2021-06-03 04:30,,Groceries - Online Delivery,138.08,0.00,956086.95
907,2021-06-03,2021-06-03 04:53,,Dining - Casual Restaurant,138.37,0.00,955948.58
908,2021-06-03,2021-06-03 01:00,,Loan EMI,1686.28,0.00,954262.30
909,2021-06-04,2021-06-04 03:54,,Freelance Income,0.00,2486.48,956748.78
910,2021-06-04,2021-06-04 21:02,,Healthcare - Regular,167.00,0.00,956581.78
911,2021-06-05,2021-06-05 21:45,,Dining - Casual Restaurant,304.73,0.00,956277.05
912,2021-06-05,2021-06-05 02:32,,Groceries - Supermarket,253.07,0.00,956023.98
913,2021-06-05,2021-06-05 07:20,,Coffee Shop,41.28,0.00,955982.70
914,2021-06-06,2021-06-06 08:10,,Rental Income,0.00,2127.73,958110.43
915,2021-06-06,2021-06-06 04:16,,Groceries - Supermarket,346.48,0.00,957763.95
916,2021-06-07,2021-06-07 11:17,,Coffee Shop,15.68,0.00,957748.27
917,2021-06-08,2021-06-08 18:24,,Public Transport,3.69,0.00,957744.58
918,2021-06-08,2021-06-08 05:52,,Fuel,94.17,0.00,957650.41
919,2021-06-08,2021-06-08 05:13,,Investment Returns - Stocks,0.00,1488.76,959139.17
920,2021-06-08,2021-06-08 04:52,,Entertainment - Movies,49.46,0.00,959089.71
921,2021-06-09,2021-06-09 04:35,,Investment - Stocks,11819.93,0.00,947269.78
922,2021-06-10,2021-06-10 07:40,,Groceries - Online Delivery,183.52,0.00,947086.26
923,2021-06-11,2021-06-11 14:09,,Dining - Fine Dining,725.87,0.00,946360.39
924,2021-06-12,2021-06-12 15:03,,Groceries - Supermarket,601.36,0.00,945759.03
925,2021-06-15,2021-06-15 06:35,,Freelance Income,0.00,736.54,946495.57
926,2021-06-15,2021-06-15 14:47,,Public Transport,2.04,0.00,946493.53
927,2021-06-16,2021-06-16 08:04,,Salary - Regular,0.00,4361.97,950855.50
928,2021-06-16,2021-06-16 08:31,,Salary - Regular,0.00,4164.80,955020.30
929,2021-06-17,2021-06-17 00:40,,Salary - Regular,0.00,5144.51,960164.81
930,2021-06-17,2021-06-17 05:31,,Salary - Regular,0.00,3071.08,963235.89
931,2021-06-18,2021-06-18 17:11,,Public Transport,4.16,0.00,963231.73
932,2021-06-19,2021-06-19 19:58,,Groceries - Online Delivery,159.54,0.00,963072.19
933,2021-06-20,2021-06-20 18:00,,Coffee Shop,8.15,0.00,963064.04
934,2021-06-20,2021-06-20 06:51,,Public Transport,7.33,0.00,963056.71
935,2021-06-20,2021-06-20 16:41,,Rental Income,0.00,3706.04,966762.75
936,2021-06-21,2021-06-21 16:42,,Healthcare - Regular,175.08,0.00,966587.67
937,2021-06-21,2021-06-21 21:48,,Dining - Casual Restaurant,184.60,0.00,966403.07
938,2021-06-21,2021-06-21 02:22,,Public Transport,2.06,0.00,966401.01
939,2021-06-22,2021-06-22 06:39,,Dining - Casual Restaurant,106.35,0.00,966294.66
940,2021-06-24,2021-06-24 08:15,,Fuel,49.42,0.00,966245.24
941,2021-06-25,2021-06-25 07:58,,Public Transport,1.97,0.00,966243.27
942,2021-06-27,2021-06-27 21:14,,Utilities - Water,187.79,0.00,966055.48
943,2021-06-29,2021-06-29 00:49,,Cashback,0.00,109.10,966164.58
944,2021-06-29,2021-06-29 08:27,,Groceries - Supermarket,294.63,0.00,965869.95
945,2021-06-29,2021-06-29 21:42,,Salary - Regular,0.00,5257.73,971127.68
946,2021-06-30,2021-06-30 15:35,,Rental Income,0.00,3366.91,974494.59
947,2021-06-30,2021-06-30 13:35,,Fuel,67.84,0.00,974426.75
948,2021-07-01,2021-07-01 04:31,,Groceries - Supermarket,326.52,0.00,974100.23
